"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 05 16:30:07 GMT 2023","Thu Jan 05 16:30:07 GMT 2023","2","cray-sls-hmth-test","smoke","","","","test_smoke[{""path"": ""v1/liveness"", ""expected_status_code"": 204, ""method"": ""GET"", ""body"": null, ""headers"": {}, ""url"": ""http://localhost:8080/apis/sls/v1/liveness""}]",""
"passed","Thu Jan 05 16:29:53 GMT 2023","Thu Jan 05 16:29:53 GMT 2023","5","cray-smd-test","smoke","","","","test_smoke[{""path"": ""hsm/v2/Inventory/HardwareByFRU/History"", ""expected_status_code"": 200, ""method"": ""GET"", ""body"": null, ""headers"": {}, ""url"": ""http://localhost:8080/apis/smd/hsm/v2/Inventory/HardwareByFRU/History""}]",""
"passed","Thu Jan 05 16:30:27 GMT 2023","Thu Jan 05 16:30:27 GMT 2023","16","cray-capmc-hmth-test","1-non-disruptive","","","","capmcAPIxnameOnDELETE - Verify xname_on DELETE method fails",""
"passed","Thu Jan 05 16:30:12 GMT 2023","Thu Jan 05 16:30:12 GMT 2023","17","cray-smd-test","functional","","","","Attempt to query the ServiceEndpoints collection for the SessionService with a valid but nonexistent xname",""
"passed","Thu Jan 05 16:29:55 GMT 2023","Thu Jan 05 16:30:00 GMT 2023","5014","cray-bss-test","smoke","","","","test_smoke[{""path"": ""boot/v1/dumpstate"", ""expected_status_code"": 200, ""method"": ""GET"", ""body"": null, ""headers"": {}, ""url"": ""http://localhost:8080/apis/bss/boot/v1/dumpstate""}]",""
"passed","Thu Jan 05 16:30:27 GMT 2023","Thu Jan 05 16:30:27 GMT 2023","32","cray-capmc-hmth-test","1-non-disruptive","","","","capmcAPIGetXnameStatus NodeBMC xname",""
"failed","Thu Jan 05 16:30:06 GMT 2023","Thu Jan 05 16:30:06 GMT 2023","2","cray-hbtd-test","smoke","","","","test_smoke[{""path"": ""hmi/v1/params"", ""expected_status_code"": 200, ""method"": ""GET"", ""body"": null, ""headers"": {}, ""url"": ""http://localhost:8080/apis/hbtd/hmi/v1/params""}]",""
"failed","Thu Jan 05 16:30:06 GMT 2023","Thu Jan 05 16:30:06 GMT 2023","2","cray-hbtd-test","smoke","","","","test_smoke[{""path"": ""hmi/v1/readiness"", ""expected_status_code"": 204, ""method"": ""GET"", ""body"": null, ""headers"": {}, ""url"": ""http://localhost:8080/apis/hbtd/hmi/v1/readiness""}]",""
"passed","Thu Jan 05 16:30:27 GMT 2023","Thu Jan 05 16:30:27 GMT 2023","34","cray-capmc-hmth-test","1-non-disruptive","","","","capmcAPIGetXnameStatus via Hardware State Manager with Node Xname",""
"passed","Thu Jan 05 16:30:27 GMT 2023","Thu Jan 05 16:30:27 GMT 2023","17","cray-capmc-hmth-test","1-non-disruptive","","","","capmcAPIxnameOnPUT - Verify xname_on PUT method fails",""
