"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Jan 05 16:31:35 GMT 2023","Thu Jan 05 16:31:35 GMT 2023","2","cray-hmnfd-test","smoke","","","","test_smoke[{""path"": ""hmi/v1/readiness"", ""expected_status_code"": 204, ""method"": ""GET"", ""body"": null, ""headers"": {}, ""url"": ""http://localhost:8080/apis/hmnfd/hmi/v1/readiness""}]",""
"failed","Thu Jan 05 16:31:35 GMT 2023","Thu Jan 05 16:31:35 GMT 2023","2","cray-hmnfd-test","smoke","","","","test_smoke[{""path"": ""hmi/v2/liveness"", ""expected_status_code"": 204, ""method"": ""GET"", ""body"": null, ""headers"": {}, ""url"": ""http://localhost:8080/apis/hmnfd/hmi/v2/liveness""}]",""
"passed","Thu Jan 05 16:32:10 GMT 2023","Thu Jan 05 16:32:10 GMT 2023","18","cray-bss-test","functional","","","","Verify the bootscript service gracefully handles invalid nids for the bootscript resource[-1]",""
"passed","Thu Jan 05 16:31:53 GMT 2023","Thu Jan 05 16:31:53 GMT 2023","30","cray-smd-test","functional","","","","Ensure that we can gather the system discovery status information",""
"passed","Thu Jan 05 16:31:36 GMT 2023","Thu Jan 05 16:31:36 GMT 2023","2","cray-smd-test","smoke","","","","test_smoke[{""path"": ""hsm/v2/service/values/arch"", ""expected_status_code"": 200, ""method"": ""GET"", ""body"": null, ""headers"": {}, ""url"": ""http://localhost:8080/apis/smd/hsm/v2/service/values/arch""}]",""
"passed","Thu Jan 05 16:31:35 GMT 2023","Thu Jan 05 16:31:35 GMT 2023","2","cray-capmc-test","smoke","","","","test_smoke[{""path"": ""capmc/v1/readiness"", ""expected_status_code"": 204, ""method"": ""GET"", ""body"": null, ""headers"": {}, ""url"": ""http://localhost:8080/apis/capmc/capmc/v1/readiness""}]",""
"passed","Thu Jan 05 16:31:36 GMT 2023","Thu Jan 05 16:31:36 GMT 2023","3","cray-smd-test","smoke","","","","test_smoke[{""path"": ""hsm/v2/locks/status"", ""expected_status_code"": 200, ""method"": ""GET"", ""body"": null, ""headers"": {}, ""url"": ""http://localhost:8080/apis/smd/hsm/v2/locks/status""}]",""
"passed","Thu Jan 05 16:31:36 GMT 2023","Thu Jan 05 16:31:36 GMT 2023","3","cray-smd-test","smoke","","","","test_smoke[{""path"": ""hsm/v2/Inventory/ComponentEndpoints"", ""expected_status_code"": 200, ""method"": ""GET"", ""body"": null, ""headers"": {}, ""url"": ""http://localhost:8080/apis/smd/hsm/v2/Inventory/ComponentEndpoints""}]",""
"passed","Thu Jan 05 16:31:44 GMT 2023","Thu Jan 05 16:31:44 GMT 2023","5","cray-bss-test","smoke","","","","test_smoke[{""path"": ""boot/v1/bootscript?nid=0"", ""expected_status_code"": 200, ""method"": ""GET"", ""body"": null, ""headers"": {}, ""url"": ""http://localhost:8080/apis/bss/boot/v1/bootscript?nid=0""}]",""
"passed","Thu Jan 05 16:31:55 GMT 2023","Thu Jan 05 16:31:55 GMT 2023","16","cray-smd-test","functional","","","","Attempt to query the ServiceEndpoints collection for the SessionService with an invalid xname",""
"passed","Thu Jan 05 16:31:36 GMT 2023","Thu Jan 05 16:31:36 GMT 2023","2","cray-smd-test","smoke","","","","test_smoke[{""path"": ""hsm/v2/service/values/role"", ""expected_status_code"": 200, ""method"": ""GET"", ""body"": null, ""headers"": {}, ""url"": ""http://localhost:8080/apis/smd/hsm/v2/service/values/role""}]",""
"passed","Thu Jan 05 16:31:53 GMT 2023","Thu Jan 05 16:31:53 GMT 2023","32","cray-smd-test","functional","","","","Ensure that we can conduct a query on the Node BMCs in the Component collection",""
"passed","Thu Jan 05 16:31:55 GMT 2023","Thu Jan 05 16:31:55 GMT 2023","52","cray-smd-test","functional","","","","Query the ServiceEndpoints collection for the EventService",""
"passed","Thu Jan 05 16:31:55 GMT 2023","Thu Jan 05 16:31:55 GMT 2023","15","cray-smd-test","functional","","","","Attempt to query the ServiceEndpoints collection for the AccountService with an invalid xname",""
"passed","Thu Jan 05 16:31:50 GMT 2023","Thu Jan 05 16:31:50 GMT 2023","4","cray-firmware-action-hmth-test","smoke","","","","test_smoke[{""path"": ""service/version"", ""expected_status_code"": 200, ""method"": ""GET"", ""body"": null, ""headers"": {}, ""url"": ""http://localhost:8080/apis/fas/v1/service/version""}]",""
"passed","Thu Jan 05 16:32:10 GMT 2023","Thu Jan 05 16:32:10 GMT 2023","17","cray-bss-test","functional","","","","Verify the bootscript service gracefully handles invalid nids for the bootscript resource[*]",""
"failed","Thu Jan 05 16:31:49 GMT 2023","Thu Jan 05 16:31:49 GMT 2023","3","cray-hbtd-test","smoke","","","","test_smoke[{""path"": ""hmi/v1/health"", ""expected_status_code"": 200, ""method"": ""GET"", ""body"": null, ""headers"": {}, ""url"": ""http://localhost:8080/apis/hbtd/hmi/v1/health""}]",""
"passed","Thu Jan 05 16:31:55 GMT 2023","Thu Jan 05 16:31:55 GMT 2023","17","cray-smd-test","functional","","","","Attempt to query the ServiceEndpoints collection for the UpdateService with a valid but nonexistent xname",""
"failed","Thu Jan 05 16:31:35 GMT 2023","Thu Jan 05 16:31:35 GMT 2023","1","cray-hmnfd-test","smoke","","","","test_smoke[{""path"": ""hmi/v2/readiness"", ""expected_status_code"": 204, ""method"": ""GET"", ""body"": null, ""headers"": {}, ""url"": ""http://localhost:8080/apis/hmnfd/hmi/v2/readiness""}]",""
"passed","Thu Jan 05 16:32:22 GMT 2023","Thu Jan 05 16:32:22 GMT 2023","18","cray-firmware-action-hmth-test","1-non-disruptive","","","","Verify the service status details resource",""
"passed","Thu Jan 05 16:31:37 GMT 2023","Thu Jan 05 16:31:37 GMT 2023","4","cray-reds-test","smoke","","","","test_smoke[{""path"": ""v1/readiness"", ""expected_status_code"": 204, ""method"": ""GET"", ""body"": null, ""headers"": {}, ""url"": ""http://localhost:8080/apis/reds/v1/readiness""}]",""
"passed","Thu Jan 05 16:31:53 GMT 2023","Thu Jan 05 16:31:53 GMT 2023","53","cray-smd-test","functional","","","","Verify the Components collection",""
"failed","Thu Jan 05 16:31:35 GMT 2023","Thu Jan 05 16:31:35 GMT 2023","2","cray-hmnfd-test","smoke","","","","test_smoke[{""path"": ""hmi/v2/params"", ""expected_status_code"": 200, ""method"": ""GET"", ""body"": null, ""headers"": {}, ""url"": ""http://localhost:8080/apis/hmnfd/hmi/v2/params""}]",""
"passed","Thu Jan 05 16:31:39 GMT 2023","Thu Jan 05 16:31:44 GMT 2023","5015","cray-bss-test","smoke","","","","test_smoke[{""path"": ""boot/v1/dumpstate"", ""expected_status_code"": 200, ""method"": ""GET"", ""body"": null, ""headers"": {}, ""url"": ""http://localhost:8080/apis/bss/boot/v1/dumpstate""}]",""
"passed","Thu Jan 05 16:31:36 GMT 2023","Thu Jan 05 16:31:36 GMT 2023","4","cray-smd-test","smoke","","","","test_smoke[{""path"": ""hsm/v2/Inventory/HardwareByFRU"", ""expected_status_code"": 200, ""method"": ""GET"", ""body"": null, ""headers"": {}, ""url"": ""http://localhost:8080/apis/smd/hsm/v2/Inventory/HardwareByFRU""}]",""
"passed","Thu Jan 05 16:31:37 GMT 2023","Thu Jan 05 16:31:37 GMT 2023","3","cray-reds-test","smoke","","","","test_smoke[{""path"": ""v1/liveness"", ""expected_status_code"": 204, ""method"": ""GET"", ""body"": null, ""headers"": {}, ""url"": ""http://localhost:8080/apis/reds/v1/liveness""}]",""
"passed","Thu Jan 05 16:31:36 GMT 2023","Thu Jan 05 16:31:36 GMT 2023","5","cray-smd-test","smoke","","","","test_smoke[{""path"": ""hsm/v2/partitions/names"", ""expected_status_code"": 200, ""method"": ""GET"", ""body"": null, ""headers"": {}, ""url"": ""http://localhost:8080/apis/smd/hsm/v2/partitions/names""}]",""
"failed","Thu Jan 05 16:31:35 GMT 2023","Thu Jan 05 16:31:35 GMT 2023","3","cray-hmnfd-test","smoke","","","","test_smoke[{""path"": ""hmi/v1/subscriptions"", ""expected_status_code"": 200, ""method"": ""GET"", ""body"": null, ""headers"": {}, ""url"": ""http://localhost:8080/apis/hmnfd/hmi/v1/subscriptions""}]",""
"passed","Thu Jan 05 16:31:35 GMT 2023","Thu Jan 05 16:31:35 GMT 2023","14","cray-capmc-test","smoke","","","","test_smoke[{""path"": ""capmc/v1/health"", ""expected_status_code"": 200, ""method"": ""GET"", ""body"": null, ""headers"": {}, ""url"": ""http://localhost:8080/apis/capmc/capmc/v1/health""}]",""
"failed","Thu Jan 05 16:31:35 GMT 2023","Thu Jan 05 16:31:35 GMT 2023","1","cray-hmnfd-test","smoke","","","","test_smoke[{""path"": ""hmi/v2/subscriptions"", ""expected_status_code"": 200, ""method"": ""GET"", ""body"": null, ""headers"": {}, ""url"": ""http://localhost:8080/apis/hmnfd/hmi/v2/subscriptions""}]",""
"passed","Thu Jan 05 16:31:52 GMT 2023","Thu Jan 05 16:31:53 GMT 2023","34","cray-smd-test","functional","","","","Query the ComponentEndpoints collection and get NodeBMC Information",""
"passed","Thu Jan 05 16:31:36 GMT 2023","Thu Jan 05 16:31:36 GMT 2023","3","cray-smd-test","smoke","","","","test_smoke[{""path"": ""hsm/v2/groups/labels"", ""expected_status_code"": 200, ""method"": ""GET"", ""body"": null, ""headers"": {}, ""url"": ""http://localhost:8080/apis/smd/hsm/v2/groups/labels""}]",""
"failed","Thu Jan 05 16:31:49 GMT 2023","Thu Jan 05 16:31:49 GMT 2023","2","cray-hbtd-test","smoke","","","","test_smoke[{""path"": ""hmi/v1/params"", ""expected_status_code"": 200, ""method"": ""GET"", ""body"": null, ""headers"": {}, ""url"": ""http://localhost:8080/apis/hbtd/hmi/v1/params""}]",""
"passed","Thu Jan 05 16:31:53 GMT 2023","Thu Jan 05 16:31:53 GMT 2023","34","cray-smd-test","functional","","","","Query the ComponentEndpoints collection and get Node Enclosure Information",""
